"value","id","name","mean","sd"
148905.435402134,1,"Cabo Verde",156069,5559.075
157586.635674275,2,"Cabo Verde",156069,5559.075
171904.033564902,3,"Cabo Verde",156069,5559.075
154413.213844521,4,"Cabo Verde",156069,5559.075
157427.195600713,5,"Cabo Verde",156069,5559.075
157562.177528674,6,"Cabo Verde",156069,5559.075
159281.943070705,7,"Cabo Verde",156069,5559.075
153105.414044066,8,"Cabo Verde",156069,5559.075
150006.332437522,9,"Cabo Verde",156069,5559.075
161115.763791726,10,"Cabo Verde",156069,5559.075
153234.116435672,11,"Cabo Verde",156069,5559.075
156656.875268416,12,"Cabo Verde",156069,5559.075
156034.975390026,13,"Cabo Verde",156069,5559.075
146520.697781455,14,"Cabo Verde",156069,5559.075
158559.969665786,15,"Cabo Verde",156069,5559.075
159252.09177837,16,"Cabo Verde",156069,5559.075
155263.562141758,17,"Cabo Verde",156069,5559.075
154709.928191285,18,"Cabo Verde",156069,5559.075
154062.73324868,19,"Cabo Verde",156069,5559.075
152863.19893812,20,"Cabo Verde",156069,5559.075
158795.097007528,21,"Cabo Verde",156069,5559.075
153996.110549496,22,"Cabo Verde",156069,5559.075
154673.919367774,23,"Cabo Verde",156069,5559.075
152105.689061706,24,"Cabo Verde",156069,5559.075
161913.859296668,25,"Cabo Verde",156069,5559.075
157628.470601097,26,"Cabo Verde",156069,5559.075
155204.254532482,27,"Cabo Verde",156069,5559.075
147305.803551812,28,"Cabo Verde",156069,5559.075
150865.699097715,29,"Cabo Verde",156069,5559.075
145163.099598086,30,"Cabo Verde",156069,5559.075
159891.025959174,31,"Cabo Verde",156069,5559.075
141730.878638005,32,"Cabo Verde",156069,5559.075
158922.245660176,33,"Cabo Verde",156069,5559.075
155496.718532161,34,"Cabo Verde",156069,5559.075
172337.507465018,35,"Cabo Verde",156069,5559.075
148348.031534951,36,"Cabo Verde",156069,5559.075
157781.532808724,37,"Cabo Verde",156069,5559.075
151727.483350188,38,"Cabo Verde",156069,5559.075
152085.403830022,39,"Cabo Verde",156069,5559.075
155225.470502716,40,"Cabo Verde",156069,5559.075
149176.137103174,41,"Cabo Verde",156069,5559.075
157276.738884598,42,"Cabo Verde",156069,5559.075
149838.388034941,43,"Cabo Verde",156069,5559.075
163968.367107106,44,"Cabo Verde",156069,5559.075
157842.083248883,45,"Cabo Verde",156069,5559.075
166353.082936267,46,"Cabo Verde",156069,5559.075
148683.375581832,47,"Cabo Verde",156069,5559.075
152706.422150722,48,"Cabo Verde",156069,5559.075
158868.462993615,49,"Cabo Verde",156069,5559.075
160697.353608446,50,"Cabo Verde",156069,5559.075
158277.238735805,51,"Cabo Verde",156069,5559.075
154662.869532178,52,"Cabo Verde",156069,5559.075
151639.92278576,53,"Cabo Verde",156069,5559.075
151733.32150015,54,"Cabo Verde",156069,5559.075
166000.208991344,55,"Cabo Verde",156069,5559.075
148760.373268803,56,"Cabo Verde",156069,5559.075
158799.206548079,57,"Cabo Verde",156069,5559.075
155075.774125047,58,"Cabo Verde",156069,5559.075
153376.392486457,59,"Cabo Verde",156069,5559.075
161877.388916332,60,"Cabo Verde",156069,5559.075
171052.209693897,61,"Cabo Verde",156069,5559.075
148779.891438695,62,"Cabo Verde",156069,5559.075
158997.144207747,63,"Cabo Verde",156069,5559.075
145032.367572949,64,"Cabo Verde",156069,5559.075
159909.513223178,65,"Cabo Verde",156069,5559.075
155266.2991436,66,"Cabo Verde",156069,5559.075
146851.562569874,67,"Cabo Verde",156069,5559.075
154160.253821794,68,"Cabo Verde",156069,5559.075
150226.236664507,69,"Cabo Verde",156069,5559.075
151304.606780551,70,"Cabo Verde",156069,5559.075
153425.026413762,71,"Cabo Verde",156069,5559.075
155679.753355185,72,"Cabo Verde",156069,5559.075
154754.087043325,73,"Cabo Verde",156069,5559.075
158282.767288287,74,"Cabo Verde",156069,5559.075
152262.186587678,75,"Cabo Verde",156069,5559.075
159839.305850399,76,"Cabo Verde",156069,5559.075
147994.011519318,77,"Cabo Verde",156069,5559.075
150311.95031964,78,"Cabo Verde",156069,5559.075
147216.821757777,79,"Cabo Verde",156069,5559.075
150730.544519066,80,"Cabo Verde",156069,5559.075
152732.2512664,81,"Cabo Verde",156069,5559.075
161191.255264917,82,"Cabo Verde",156069,5559.075
154247.085449219,83,"Cabo Verde",156069,5559.075
151806.697437762,84,"Cabo Verde",156069,5559.075
161295.583470229,85,"Cabo Verde",156069,5559.075
155732.52335912,86,"Cabo Verde",156069,5559.075
152456.764619394,87,"Cabo Verde",156069,5559.075
155415.350014943,88,"Cabo Verde",156069,5559.075
149926.262540465,89,"Cabo Verde",156069,5559.075
148423.051569721,90,"Cabo Verde",156069,5559.075
153704.079354819,91,"Cabo Verde",156069,5559.075
